"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"Q8CAK1","Iba57","Putative transferase CAF17 homolog, mitochondrial",137539.828165466,135297.112360403,200684.361458582,254610.33963654,190154.289352652,215008.894924421,210460.946541856,357600.546753965,138519.387187725,158940.690261436,202800.384386451,288332.653652375,201555.283817637,213293.668867495,249205.051814549,308448.028443992,0.76,1
"Q8CAQ8","Immt","MICOS complex subunit Mic60",3659298.95244519,4893730.60301088,4553031.7861757,6123967.00800022,4625401.94260466,5645269.0332995,4940234.4164957,6656202.83541809,3533951.41087487,5082016.58904984,5157116.65178223,6429912.49270376,4596055.15470354,5827045.28036704,5772619.47966224,7545941.08745856,0.89,1
"Q8CAS9","Parp9","Poly [ADP-ribose] polymerase 9",265826.036466895,214310.428115817,763201.953157702,255359.299736832,229790.838363327,214262.451453383,669317.882814618,256501.958697695,281066.615874954,230502.558804354,645997.217115645,315831.736982517,254926.893094829,231854.556386893,581945.946317453,316367.862566997,0.89,1
"Q8CAV0","Ybey","Putative ribonuclease",15258.8934590312,21266.9813567056,16060.8196257348,21345.3628583157,13161.6100542627,28623.6189694168,22948.4880348856,25431.4160169117,11640.4619335683,23759.0654003378,19570.8399594696,23574.1516436852,12461.996400453,29870.953148086,21501.4587105428,26555.4646062029,0.91,1
"Q8CAY6","Acat2","Acetyl-CoA acetyltransferase, cytosolic",1170305.1126184,1248515.91590149,886351.977490867,453653.25400083,979825.606133763,1334972.67887034,897214.542412251,541640.388581556,1229738.37019399,1136802.49042671,835904.809872641,537828.624059288,1021331.70842942,1211422.16710945,827175.046043168,495051.399158484,0.94,1
"Q8CB44","Gramd4","GRAM domain-containing protein 4",588399.944646579,441259.359263046,437717.093343467,373406.239881616,618848.537296824,397779.72571633,400518.029771551,294447.024897174,645720.532963437,509538.880568688,466912.7336794,395558.446958973,597732.039854399,410361.09679032,397254.802026526,294049.577846014,0.68,1
"Q8CB77","Tceb3","Transcription elongation factor B polypeptide 3",50186.9977532869,48507.7783015136,46713.1575778739,35012.5311462907,24739.0224718307,28542.3395692371,30003.4861150454,30219.4897393286,71383.9004799106,43485.1358934534,58078.3236480351,56657.5432856713,31393.3005130452,24991.4523568418,49714.3790121354,43174.7629703887,0.04,0.1
"Q8CBC4","Cnst","Consortin",14501.1695136427,14123.3004195117,9405.04617824028,12956.1073734812,51170.9744213422,10625.2081194135,7355.71856666186,13939.2029817626,14899.1775086437,15214.7932362372,13254.5113357017,18760.0927541642,15585.4594038618,15433.7134101059,14310.7042649487,19000.7389540325,0.1,1
"Q8CBD1","Nrip1","Nuclear receptor-interacting protein 1",1271.17531672638,406.204613216689,420.937263693769,161.188851050786,1996.8729338166,217.198466489182,390.89323314598,804.008950915973,1086.74995013492,147.004143057631,1324.50171483712,1293.60634791243,1629.25829483541,833.021594347342,1672.75929490861,1062.98723701144,0,0
"Q8CBE3","Wdr37","WD repeat-containing protein 37",585353.721958418,510758.759494488,803999.015058414,346759.502819427,590552.972165758,593928.482272516,756227.405234006,478486.866724765,676821.223398897,565964.712488692,798090.384938825,442313.765847198,658887.008817848,600004.169705386,918581.095263531,531013.210947521,0.49,0.91
