uniprot,Mean Diff.,Discovery?,q value,Individual P Value
O08848,0.04435,No,1.00,0.73
O08852,-0.1895,No,0.75,0.13
O08856,-0.2781,No,0.31,0.03
O08908,-0.1078,No,1.00,0.39
O08911,-0.2026,No,0.67,0.11
O08912,0.2068,No,0.65,0.10
O08915,0.07755,No,1.00,0.54
O08917,0.06562,No,1.00,0.60
O08919,0.01506,No,1.00,0.91
O08967,0.214,No,0.61,0.09
O08970,0.03404,No,1.00,0.79
O08983,0.06489,No,1.00,0.61
O08989,0.01349,No,1.00,0.92
O08992,-0.06656,No,1.00,0.60
O08997,0.01446,No,1.00,0.91
O08999,0.01408,No,1.00,0.91
O09000,0.01178,No,1.00,0.93
O09005,0.02816,No,1.00,0.82
O09012,-0.05962,No,1.00,0.64
O09044,0.06147,No,1.00,0.63
O09061,0.2019,No,0.68,0.11
O09106,0.1161,No,1.00,0.36
O09110,-0.09533,No,1.00,0.45
O09111,0.02394,No,1.00,0.85
O09117,-0.06168,No,1.00,0.63
O09126,-0.03357,No,1.00,0.79
O09131,0.05352,No,1.00,0.67
O09159,-0.02074,No,1.00,0.87
O09164,0.6055,Yes,0.00,0.00
O09167,0.05204,No,1.00,0.68
O09172,0.1643,No,0.86,0.19
O09174,0.02091,No,1.00,0.87
O35066,-0.2565,No,0.40,0.04
O35071,-0.1457,No,0.94,0.25
O35074,-0.2666,No,0.35,0.04
O35075,0.05861,No,1.00,0.64
O35083,-0.09827,No,1.00,0.44
O35099,-0.3055,No,0.21,0.02
O35114,-0.1216,No,1.00,0.34
O35126,-0.1826,No,0.78,0.15
O35127,0.003839,No,1.00,0.98
O35129,-0.09058,No,1.00,0.47
O35130,-0.0357,No,1.00,0.78
O35134,-0.0118,No,1.00,0.93
O35143,-0.3549,No,0.09,0.01
O35144,-0.2281,No,0.53,0.07
O35153,0.03675,No,1.00,0.77
O35166,0.04722,No,1.00,0.71
O35177,-0.04052,No,1.00,0.75
O35188,0.05235,No,1.00,0.68
O35206,-0.03007,No,1.00,0.81
O35207,0.03284,No,1.00,0.80
O35215,0.01328,No,1.00,0.92
O35218,-0.01162,No,1.00,0.93
O35231,-0.3906,Yes,0.05,0.00
O35239,0.03259,No,1.00,0.80
O35242,0.03832,No,1.00,0.76
O35245,-0.08553,No,1.00,0.50
O35250,-0.01257,No,1.00,0.92
O35286,0.07594,No,1.00,0.55
O35295,-0.02965,No,1.00,0.82
O35309,-0.00795,No,1.00,0.95
O35316,0.008119,No,1.00,0.95
O35317,-0.02375,No,1.00,0.85
O35326,-0.07266,No,1.00,0.57
O35343,-0.08791,No,1.00,0.49
O35344,0.1117,No,1.00,0.38
O35345,0.09273,No,1.00,0.46
O35350,-0.005404,No,1.00,0.97
O35375,0.07547,No,1.00,0.55
O35379,-0.137,No,0.97,0.28
O35381,-0.01395,No,1.00,0.91
O35382,0.04984,No,1.00,0.69
O35386,-0.03181,No,1.00,0.80
O35387,0.06211,No,1.00,0.62
O35405,0.09398,No,1.00,0.46
O35425,0.2193,No,0.58,0.08
O35427,-0.1422,No,0.94,0.26
O35435,0.07282,No,1.00,0.57
O35445,-0.04264,No,1.00,0.74
O35448,0.09595,No,1.00,0.45
O35450,-0.1543,No,0.90,0.22
O35459,0.0179,No,1.00,0.89
O35465,0.08044,No,1.00,0.53
O35473,-0.2715,No,0.33,0.03
O35492,-0.1466,No,0.93,0.25
O35495,-0.1868,No,0.76,0.14
O35516,-0.06142,No,1.00,0.63
O35551,-0.07856,No,1.00,0.54
O35566,-0.697,Yes,0.00,0.00
O35593,0.1625,No,0.86,0.20
O35594,-0.3277,No,0.15,0.01
O35598,-0.06462,No,1.00,0.61
O35604,-0.06262,No,1.00,0.62
O35607,-0.2894,No,0.27,0.02
O35609,0.08177,No,1.00,0.52
O35613,-0.00794,No,1.00,0.95
O35615,0.1148,No,1.00,0.37
O35618,-0.09114,No,1.00,0.47
O35621,-0.05869,No,1.00,0.64
O35623,-0.04646,No,1.00,0.71
O35625,-0.1882,No,0.76,0.14
O35632,-0.2411,No,0.46,0.06
O35638,0.08628,No,1.00,0.50
O35639,0.04167,No,1.00,0.74
O35640,0.03732,No,1.00,0.77
O35643,0.05132,No,1.00,0.69
O35648,-0.1381,No,0.96,0.28
O35654,0.1628,No,0.86,0.20
O35657,-0.05962,No,1.00,0.64
O35658,0.1282,No,1.00,0.31
O35664,0.2574,No,0.39,0.04
O35671,-0.05243,No,1.00,0.68
O35674,0.09859,No,1.00,0.44
O35678,0.1659,No,0.86,0.19
O35682,-0.4224,Yes,0.02,0.00
O35683,-0.05483,No,1.00,0.67
O35685,0.06438,No,1.00,0.61
O35691,0.04846,No,1.00,0.70
O35704,-0.03721,No,1.00,0.77
O35711,-0.04715,No,1.00,0.71
O35730,0.05711,No,1.00,0.65
O35737,0.07089,No,1.00,0.58
O35739,0.04647,No,1.00,0.71
O35841,0.02062,No,1.00,0.87
O35855,0.1032,No,1.00,0.42
O35857,0.05579,No,1.00,0.66
O35864,0.0309,No,1.00,0.81
O35874,0.2485,No,0.43,0.05
O35887,0.03829,No,1.00,0.76
O35892,-0.2441,No,0.45,0.05
O35900,-0.1018,No,1.00,0.42
O35914,-0.333,No,0.13,0.01
O35943,0.03513,No,1.00,0.78
O35945,-0.05279,No,1.00,0.68
O35954,-0.05968,No,1.00,0.64
O35955,0.05787,No,1.00,0.65
O35963,0.03615,No,1.00,0.78
O35969,0.1585,No,0.88,0.21
O35972,-0.06503,No,1.00,0.61
O35973,-0.2579,No,0.39,0.04
