uniprot,Mean Diff.,Discovery?,q value,Individual P Value
Q6P5F7,-0.2713,No,0.14,0.02
Q6P5F9,0.0585,No,0.89,0.61
Q6P5G3,-0.3864,Yes,0.01,0.00
Q6P5G6,0.1052,No,0.77,0.36
Q6P5H2,0.2198,No,0.30,0.06
Q6P6I6,0.1558,No,0.57,0.18
Q6P6J0,0.04288,No,0.91,0.71
Q6P6J9,-0.0209,No,0.94,0.86
Q6P6L0,-0.04024,No,0.92,0.73
Q6P6M5,-0.5729,Yes,0.00,0.00
Q6P6M7,-0.2266,No,0.27,0.05
Q6P7W0,-0.1198,No,0.72,0.30
Q6P8H8,-0.02927,No,0.93,0.80
Q6P8I4,0.08954,No,0.82,0.44
Q6P8J2,-0.1019,No,0.78,0.38
Q6P8M1,0.03305,No,0.92,0.77
Q6P8X1,-0.002142,No,0.96,0.99
Q6P9J9,0.008655,No,0.96,0.94
Q6P9L6,0.275,No,0.14,0.02
Q6P9N1,-0.1037,No,0.77,0.37
Q6P9P6,0.9129,Yes,0.00,0.00
Q6P9Q4,-0.1236,No,0.70,0.28
Q6P9Q6,-0.04914,No,0.91,0.67
Q6P9R1,-0.05002,No,0.91,0.66
Q6P9R2,0.1159,No,0.73,0.31
Q6P9R4,0.0272,No,0.93,0.81
Q6P9S0,-0.3112,No,0.07,0.01
Q6P9S7,-0.3108,No,0.07,0.01
Q6P9Z1,-0.2028,No,0.37,0.08
Q6PA06,0.1542,No,0.58,0.18
Q6PAC3,0.009477,No,0.95,0.93
Q6PAJ1,-0.102,No,0.78,0.38
Q6PAJ3,0.0731,No,0.86,0.53
Q6PAL7,-0.2995,No,0.09,0.01
Q6PAL8,0.2181,No,0.30,0.06
Q6PAM1,0.168,No,0.51,0.14
Q6PAQ4,0.2759,No,0.14,0.02
Q6PAR5,0.1135,No,0.74,0.32
Q6PAT0,-0.06584,No,0.88,0.57
Q6PAV2,0.05164,No,0.90,0.65
Q6PB44,0.05481,No,0.90,0.63
