"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P42337","Pik3ca","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",482921.546014354,475185.674762937,412992.47227948,373674.57052312,451720.491450352,562119.188102753,424282.214402814,446101.830680234,479485.868624194,502099.37514921,380020.321389755,345779.670740075,474855.074878027,537912.63041257,330429.463079618,373861.44744142,0.239425905032043,9.12,18542
"P42567","Eps15","Epidermal growth factor receptor substrate 15",2439106.4775417,2277249.6257752,2452334.25747741,2357989.14556238,2256779.44043693,2383534.23622959,2367436.26632218,2326042.55805657,2453193.88273278,2530359.82312116,2566255.03958334,2496390.74462655,2214229.17893226,2206681.22050438,2690862.9925109,2459912.26260936,0.0749192288467448,17.58,124797
"P42669","Pura","Transcriptional activator protein Pur-alpha",1277799.07247441,1130884.99360004,1326956.27320696,1312170.72250519,1128673.22525813,1184779.1924765,1175511.58994314,1207565.45792524,1240838.88112103,1529024.13966761,1153737.72571387,1199059.51855433,1132361.03497344,1204996.49711431,1033224.76085693,1145919.92304943,0.122991117852334,13.36,20182
"P42703","Lifr","Leukemia inhibitory factor receptor",682339.037371686,717805.437800101,435874.544690442,535016.829616109,480010.248464153,701615.806263305,575214.099754466,385019.761040403,690217.630508607,393514.224895639,659450.169573896,486520.769083144,802495.128028858,596298.748119329,503458.17873572,587129.986497018,0.169240514608877,23.68,40511
"P42859","Htt","Huntingtin",677017.456126457,734992.162906691,574847.639357401,624629.325023813,605168.597375407,645687.341939649,596447.643252246,605522.248811804,683485.216922906,655595.416458735,660746.463552199,659866.712250913,607482.142880039,681752.345770047,610874.759299889,574972.873139783,0.114972930685014,18.09,9604
"P42925","Pxmp2","Peroxisomal membrane protein 2",2834824.14384745,2529689.34181621,3077775.4777439,2908882.66892545,3090152.64930082,2413104.28719862,3496614.65119532,2960717.12691498,2999812.18212477,3449204.66229886,3302598.72288655,2798826.58430759,2979627.20473926,2937377.49450603,2504381.56868743,3006696.48259182,0.133396167882644,14.46,147278
"P42932","Cct8","T-complex protein 1 subunit theta",10061969.8043068,8850168.11071316,9241312.16672874,9584328.03450934,9226313.71623266,9569052.10366482,9668163.73877566,10049485.9153927,9792376.14831802,9647806.59147767,10376174.9423026,10954092.5682834,9622607.26323196,8216820.23031694,9773776.17396417,9492037.7058947,0.0807674488098014,14.38,398235
"P43006","Slc1a2","Excitatory amino acid transporter 2",85036.9248081057,62443.1421560405,55506.4304277719,57959.9932074884,87266.826341551,65882.6195654155,51635.3179208954,63003.6936525364,94211.6846995683,83261.092546727,42796.5858039448,86784.050895568,94010.2704693863,61078.7400025288,49419.6988717094,73692.9017821411,0.201155483439201,16.51,5136
"P43024","Cox6a1","Cytochrome c oxidase subunit 6A1, mitochondrial",510321.48107838,298557.458868378,471409.079049502,480304.839560477,494603.211491254,431040.948438475,482181.460908132,461082.47545537,457352.158935215,616489.514935866,477303.135387709,440263.639619743,358710.922127631,426040.008939224,411500.972750609,448112.105052942,0.105578694433708,13.26,35788
"P43135","Nr2f2","COUP transcription factor 2;COUP transcription factor 1",56346.2783597439,30815.6696033899,60220.6567220811,57342.8451436278,47969.3556715497,47725.3180572497,57378.0270414907,70947.8939076949,37559.5450169357,60992.3574002903,55407.394774583,64213.1398302806,38919.1512580502,36703.5991961465,45785.5699390138,52398.7560982386,0.105578694433708,11.46,5474
"P43247","Msh2","DNA mismatch repair protein Msh2",351119.587008986,344684.453799686,290099.546623067,314412.601722074,325090.392046556,338333.785991414,282605.471155702,299745.977888187,334022.292411915,353961.724423435,291501.810148784,291111.863340964,357613.053219432,325282.913505534,298155.233515774,270865.496208377,0.317435108737141,2.46,2957
"P43274","Hist1h1e","Histone H1.4",519245.606997078,403982.512585787,506870.068104559,394925.642263602,556742.140188191,376594.284827077,545984.540573718,538029.30163678,331024.679258222,341869.288544633,465570.585114622,472849.075448289,473798.339099003,305374.925297289,496522.565039686,433900.285191044,0.0697961097033575,7.48,41682
"P43277","Hist1h1d","Histone H1.3",227703.330927911,173413.857258876,326598.266290998,329863.007112219,240559.840059983,172179.714396775,377442.833535451,321770.23688505,121517.804881413,162057.842233945,228116.580360093,301374.303961871,159660.624518441,201809.470193922,231220.320986943,404919.657384283,0.143901630241577,5.42,42108
"P43406","Itgav","Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain",196873.552714622,193820.11722476,196571.21736299,169947.624106138,213727.428611914,227513.128982659,162266.621261704,195596.388653214,186677.739087823,218931.363564057,200800.262922584,231963.615581038,216707.393616234,214442.474841894,215244.163000453,188539.032744678,0.114972930685014,17.5,7049
"P45376","Akr1b1","Aldose reductase",1474993.17978832,1308102.71603112,1679830.30235643,1556285.60621006,1572383.00528209,1608840.98610853,1703926.88694411,1519646.09733474,1323456.00260382,1641898.38138312,1593276.19087796,1787729.46803075,1667568.64515773,1610676.12483344,1883599.57319545,1578076.37708469,0.0965559619748949,19.31,42076
"P45377","Akr1b8","Aldose reductase-related protein 2",223041.981988119,236563.096017102,243616.91031011,250898.829118236,191956.896308771,218069.051278179,220835.731428809,257389.979298466,244941.057555587,216805.656945691,272944.636887772,218540.237471282,231476.293049244,210460.448407798,258062.382394885,234609.778045496,0.184125796212024,21.81,6486
