"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q8BXN7","Ppm1k","Protein phosphatase 1K, mitochondrial",514356.271529576,612090.217058011,580653.977020116,576475.695458402,816753.262276933,745568.972750547,753251.606491576,729160.592573816,723818.042985543,690135.049588733,623630.378928435,626580.553471514,573854.504749923,626884.413357289,707397.548160827,525361.469510659,0.0125229445565053,11.59,83437
"Q8BZX4","Srek1","Splicing regulatory glutamine/lysine-rich protein 1",812396.115854566,668263.731655164,850329.480600389,862670.444298593,866616.259135916,945569.62506445,919706.07720212,871106.776233091,909982.029203587,745614.088453108,857524.692645816,840372.572999977,824506.656522121,774696.641068357,849011.092659666,796564.015241284,0.0317747584604215,11.5,44241
"Q8C052","Map1s","Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain",167677.320466572,191874.604635963,162452.634400711,155536.515569157,177908.136838011,204905.945017891,169986.692083426,160719.585727685,143725.568921705,118695.941896762,139424.256014363,151565.854644478,178551.181378569,190147.158116654,138264.187160169,152421.857423617,0.0358402101501716,5.4,20523
"Q8C0L9","Gpcpd1","Glycerophosphocholine phosphodiesterase GPCPD1",1191063.63451154,1195932.50320417,723432.191381295,977281.383330583,1568914.08503931,1391702.89279984,1263930.28305227,807269.616292432,2255411.19794848,2311255.48704282,1454207.53443686,1038013.12226757,1653435.79747191,2089939.84757518,1015772.41495832,1621849.95937867,0.0358402101501716,17.33,253945
"Q8C0Q9","Rapgef5","Rap guanine nucleotide exchange factor 5",246165.104883063,170294.716552156,191066.676829689,220747.514791898,265003.914083006,244556.860880828,280851.799888107,255412.254155301,307203.120902,283771.47803868,232411.465721876,272592.50529523,209667.959232835,245673.426636035,172776.64780845,215621.354239019,0.0251505615202136,13.41,38279
"Q8C1A5","Thop1","Thimet oligopeptidase",2588964.0031408,2914444.27581395,2859957.27302244,2782515.16896437,3017216.97427088,2844200.64106602,3562885.50243537,3964778.19622288,2894287.98981693,2796613.17672454,3044828.62225046,2643314.36219592,2687282.87808823,2747617.86774096,2678767.04468238,2778855.68786519,0.0317747584604215,10.39,309017
"Q8C2E7","Kiaa0196","WASH complex subunit strumpellin",1285631.8596615,1379405.09591011,1323935.42906227,1309357.99921331,1565573.97115708,1404728.56949581,1435958.64508467,1369176.87570722,1557752.57733999,1527000.59467761,1376928.56567991,1349486.88252773,1330797.56354418,1466853.09174162,1285269.88797557,1388990.55617928,0.049885928955426,13.64,66589
"Q8C2P3","Dus1l","tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like",123806.607936841,144006.073979826,131532.916293908,121416.865059693,115631.016891278,106176.243587653,128463.465676562,143359.26255846,121417.750389968,117574.178196278,112301.039281733,97140.5881038228,108591.173807816,101163.69453209,115757.279242346,105380.079076055,0.0317747584604215,6.61,7191
"Q8C4J7","Tbl3","Transducin beta-like protein 3",184590.936130568,189077.484054423,193435.280426861,227043.593191365,200082.370327422,170606.94860988,187638.046710997,185919.044857583,178512.073954217,172029.177375922,182234.710217255,181586.0880413,186841.465689783,202980.774773376,227420.338289368,202300.267327519,0.0236709727915275,1.28,12329
"Q8C5W0","Clmn","Calmin",1077647.85467528,1132392.26737681,1059352.09995938,1082840.25194293,1129798.72019035,1117318.07958408,1066773.93067805,1110263.63242862,1183217.58887986,1223318.75019736,1280573.14385586,1156559.27285478,1205226.00648088,1072182.0066134,1165636.76112365,1212246.59414549,0.0251505615202136,17.15,52375
"Q8C767","Ppp1r3b","Protein phosphatase 1 regulatory subunit 3B",262927.438553804,310625.579373945,309379.104861254,264277.572976869,231613.549151606,174592.233947602,224192.714112816,227770.149057436,377607.954111762,300728.535919219,330510.951197541,421186.349211748,386402.56398979,354117.436085152,344250.755978865,343691.047166052,0.00967727832882447,19.57,66332
"Q8CBR6","Tsku","Tsukushin",86798.5407374331,90928.4171900389,100126.248230501,147519.293270536,169910.717723653,181914.229208187,206605.139061293,153064.271629936,257067.670348087,261900.914642234,181776.304043567,244762.116892546,196068.908321301,208690.263423767,159198.278509089,205041.196757306,0.0103293284524618,13.79,49720
"Q8CD15","Mina","Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA",512278.621571819,398926.995631366,372195.551703643,464601.112443035,318115.717173552,336037.891864043,358321.904566478,310790.76911876,344781.901376028,231986.621254923,406346.326105689,361005.787670969,308155.560538012,337867.626746888,430082.70953116,451568.127223403,0.0454175116054217,1.85,49217
"Q8CEC6","Ppwd1","Peptidylprolyl isomerase domain and WD repeat-containing protein 1",283200.698952393,271617.389566657,329733.064735261,292400.440135962,270993.832630285,257191.130735158,268273.515577663,259456.370545499,278828.476430628,237828.631800074,281022.672095495,300185.336161606,251871.653133929,263904.993346325,255856.02689433,243529.239248554,0.049885928955426,5.5,8339
"Q8CES0","Naa30","N-alpha-acetyltransferase 30",136940.598561048,149775.068155484,145264.645352865,147059.212709034,145747.00800425,135281.730367251,144359.097269849,141206.595358806,142519.776948011,128084.182158459,145266.176004721,138029.078812515,126008.385606555,133364.869860613,125827.365800421,135858.925062404,0.0251505615202136,8.07,4355
"Q8CFI7","Polr2b","DNA-directed RNA polymerase II subunit RPB2",702534.547566346,625295.239129231,702197.918839288,658520.703666902,697819.661280837,698261.099729054,713515.670516399,774725.838772427,659827.124657508,622667.228498374,624826.941302832,683014.241310615,631078.004664003,675622.929126265,626868.215390855,664886.313612098,0.0358402101501716,8.83,31488
"Q8CFX1","H6pd","GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase",7374637.8719317,8189613.08086793,7510189.45285733,7804046.95594097,7438525.40074073,6881894.75379775,6625682.65192558,7010542.95660893,7221078.21320345,7197917.55412741,6579241.74826765,6889620.58964302,7276790.22422644,7788590.2800324,6559589.3994432,7645823.95162143,0.0454175116054217,1.93,355240
"Q8CGR7","Upp2","Uridine phosphorylase 2",891547.58888363,797111.965294616,456556.514483916,547428.462226374,1360992.28768445,1078411.33107898,1245297.0535137,1817214.6385978,2104218.55489436,2500105.11609587,2725042.35588714,1944039.86748877,691865.954948921,989780.695740476,724367.893670624,894106.944877326,0.00423518743919428,14.53,1050478
"Q8CGY8","Ogt","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit",1945887.89276177,1818085.38258469,1993002.97213558,1952982.32153377,1850542.5357818,1757563.6971823,1833872.49913904,1875275.15328902,1723679.42038621,1647682.01325006,1853645.37161758,1740864.21428121,1830120.82068768,1924597.55006513,1870547.13802646,1918572.00949327,0.0236709727915275,2.74,85011
"Q8CH02","Sugp1","SURP and G-patch domain-containing protein 1",94799.3434532047,90915.589424672,94952.7880720188,90172.7163040501,82804.283821755,75855.8389659051,98850.2118998489,86115.0382157134,73905.187262014,94786.1164605682,78313.7195092754,80726.4710206762,94220.5661369301,76952.3008670603,75618.4415657812,74272.8826884055,0.049885928955426,5.68,3960
