"uniprot","main_gene","protein_name","U1_V3_1","U1_V3_2","U1_V9_1","U1_V9_2","U1_V15_1","U1_V15_2","U1_V21_1","U1_V21_2","U1_I3_1","U1_I3_2","U1_I9_1","U1_I9_2","U1_I15_1","U1_I15_2","U1_I21_1","U1_I21_2","U2_V3_1","U2_V3_2","U2_V9_1","U2_V9_2","U2_V15_1","U2_V15_2","U2_V21_1","U2_V21_2","U2_I3_1","U2_I3_2","U2_I9_1","U2_I9_2","U2_I15_1","U2_I15_2","U2_I21_1","U2_I21_2"
"Q9D2V7","Coro7","Coronin-7",1024919.82969708,1044020.57354112,1035122.21828581,1030095.37061659,1062797.44099586,1045103.38760887,934285.229927604,900410.3594323,1047969.78454762,1022077.81530639,933511.907295483,1058055.72706835,1061326.47371846,1100682.68256978,1067836.9465435,984076.826585538,1083746.48462839,963748.919505947,940445.806939412,1639869.73311926,1225397.13073194,1119822.05167968,1085619.53120982,969311.374274481,1136738.52840891,1181601.70790504,1121278.70847856,1153020.42971125,1154753.74699577,1071155.2605509,1223360.27402304,1174771.24349476
"Q9D2V8","Mfsd10","Major facilitator superfamily domain-containing protein 10",20708.1888000819,22552.6054610195,16905.5136323799,13523.4138262092,22137.4731450142,10660.4694000715,14373.2182554756,32159.8326798976,20952.391801872,18964.9205070428,25388.156646073,17880.5346146511,17822.7441997668,20168.4390765281,26595.444094977,14156.0858869976,21301.6926233159,18399.6846256179,23550.8047726474,31189.4730735129,21353.9766912088,23172.0034788847,19551.6895467716,20812.3157985178,19556.8912800576,22035.9720317263,20017.7970113437,22528.7393539435,19387.9172120903,24452.6264884466,31723.6274035679,21039.1156520337
"Q9D2X5","Mau2","MAU2 chromatid cohesion factor homolog",30635.8957265919,30801.0703058083,30696.6304076082,39933.2970191022,29460.7979003903,27129.913742686,28801.087058359,25034.5483773044,26833.1392086644,37520.3825749085,30577.0510670525,31270.857406547,32514.3914153775,31449.3879473625,20838.877211543,33070.4784018023,21969.3184621846,23499.9219854572,33172.4078156614,24105.8285446986,26232.6886935634,26317.0808923968,32894.8938833909,23613.2354503758,69328.0979640344,40373.1669679787,29490.8342690675,32101.420162579,29161.1636074791,24041.0351344971,29606.3880062314,31093.6031314279
"Q9D2Y4","Mlkl","Mixed lineage kinase domain-like protein",164513.187116391,172821.766494833,172737.393516715,159849.205297388,166554.649328659,112333.523575112,143852.309379379,175764.382098313,152421.054122867,132255.85930539,136324.661601517,154110.505546568,185228.285973399,179569.177739832,151540.340117163,122981.955775945,179265.673064246,134395.770851499,152077.364861145,151325.421533028,181882.608758983,162112.932657577,166686.100527968,192516.511169137,134909.212644242,149557.97018028,126096.26107858,132425.232450441,157380.362620982,149303.688945422,153763.521933841,134876.155100239
"Q9D338","Mrpl19","39S ribosomal protein L19, mitochondrial",750282.67779977,792657.598559817,825171.401995824,751301.442446328,890285.624068448,795842.744744415,714265.341391275,749810.057423993,762950.616438124,785482.428406732,796137.473827165,845827.530524286,811278.039051549,771966.981964807,803601.002541019,796794.828769095,897901.849857174,708059.390946743,754318.87085792,626726.673412549,783889.999679837,755925.718915644,682503.613136157,696157.924298904,708207.6485617,745121.304656844,604268.144767088,698494.054048833,751982.229667609,742215.929819976,784344.00711009,802559.92456292
"Q9D358","Acp1","Low molecular weight phosphotyrosine protein phosphatase",2696502.87707605,2470676.14978103,2842212.5640992,2688011.53250419,2645584.08609834,2705521.00829501,2417512.82025421,2586022.47637796,2659888.03187397,2549440.10230574,2647981.11799369,2715363.43622356,2505224.99191641,2766006.8730654,2230576.03730893,2540449.70564015,2948421.92506689,2346022.85359079,2448863.83002868,2607493.94610785,2551167.30493818,2763899.93212276,2698303.79462851,2452177.56639849,2683133.23902851,2709798.27747717,2414592.90737939,2873186.44459493,2680944.05725557,2887985.25795674,2916704.94310151,2931627.52131318
"Q9D379","Ephx1","Epoxide hydrolase 1",13851732.6294023,16423922.5914901,14485640.1984278,14842919.8422976,15367136.405084,10968774.1560174,14362040.6179037,16351493.9375071,16593947.169392,15452409.2344984,16622961.0003182,15514229.8507939,17392107.9526564,18100320.3423694,15689135.6899163,14146060.0036665,20721671.2978619,15855770.4933819,15052097.5761874,16766573.7146037,14699672.3301884,17524582.9417577,16642711.2479514,15602147.3862195,17953892.9759695,19278975.2539345,15874249.8665078,18341476.1585149,19532522.39838,14547872.8044609,16062846.5966797,16426987.2399733
"Q9D3A8","Nos1ap","Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein",91110.0755556348,94920.2460795024,62295.667992386,78414.3220766811,98166.3618241138,52444.2170817673,71587.2269161475,56565.8754738662,85426.3466720255,35658.2460997395,88879.5546447785,70555.8569953936,65177.4924864265,95715.1525055993,66561.7038760035,74889.7673891301,91059.5487426142,88524.2512625651,103271.49785388,86859.6472139718,119369.425794107,95099.6803506954,101901.603840251,120832.016320021,123456.812706389,87780.9795197845,132465.62649803,104990.101064226,105766.807428959,121766.358923209,109893.834088643,113362.815366199
"Q9D3B1","Hacd2","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2",1002651.79505836,943146.482507321,1040568.32634286,1058471.68947496,1152409.9948892,859232.904300448,1045669.37285924,1075048.84453415,1075013.11337416,927706.074355141,1039956.59047196,979229.945006087,979728.057056646,1095416.75831292,914559.031324597,973656.813263084,954897.62756576,999100.280809184,891094.358066235,925936.609854886,848289.271806639,773605.711791252,962821.29858179,948715.964365188,813598.690252697,761203.358007305,863144.815807578,917582.045952341,1016717.2065842,895709.046117823,854249.772910239,889198.324367794
"Q9D3D9","Atp5d","ATP synthase subunit delta, mitochondrial",146265.069730869,243502.24719817,110479.656882236,124739.851438239,170076.199204004,120278.864739312,204055.220775532,274789.842844996,115655.429431751,88701.9522577244,200270.901706202,100312.828488847,118235.577091184,180646.0072961,229560.034470533,102072.363373319,156945.283495914,190250.698687158,188029.633067163,199468.955221521,157220.903778732,110723.191346683,162186.147649413,254976.230741083,163203.048711512,114113.78446149,195168.397416104,165823.244521965,173742.148857857,195337.151189529,130985.172031308,149783.279131143
