"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q8CJ53","Trip10","Cdc42-interacting protein 4",1768.69431696831,2126.91604543701,2068.72485870837,1387.58147768616,1738.779865945,2050.08893246605,2045.23510771466,1943.09151289266,2388.9060820708,2143.4130849565,3378.91798632161,2285.32053592009,1298.55693505121,1408.33243732816,2088.43714666764,1557.64767446968,0.0480399833261929,13.52,732
"Q8JZQ9","Eif3b","Eukaryotic translation initiation factor 3 subunit B",778058.420455986,848048.193209408,834651.750402178,837533.29628031,912054.827271268,874120.756439819,890322.393498637,840537.174874568,846192.857785377,867012.248807418,861219.732520214,855038.751641377,872818.356892167,811508.11706591,806663.18083938,820941.279798749,0.0480399833261929,11.56,27593
"Q8JZR6","Slc4a8","Electroneutral sodium bicarbonate exchanger 1",142020.949305519,154445.820127296,145954.503861097,146451.232980495,159615.070098787,154975.124888403,153141.852286764,151514.900367925,153602.527510767,159944.945832447,161401.734820163,153887.091903216,172859.277877596,155909.051879309,154180.422876291,161114.555139505,0.0456322718001179,17.48,3969
"Q8K004","Spata2","",25859.8234433898,37501.6673812466,33729.2708314936,36123.2063186675,47302.952363601,30805.0146621142,36692.2662317942,34048.7989405607,44706.3392317509,37976.1145815863,56744.5750128388,49941.7366213922,43729.8999267155,37544.2768014161,40173.9420309195,43310.4820040268,0.0456322718001179,16.18,5707
"Q8K182","C8a","Complement component C8 alpha chain",25865.4444539727,8730.53359177437,10045.8469915562,11140.1831704181,4569.60714214955,6993.16754856526,13508.9918125585,8684.62629545953,8393.70573099091,12273.7032038021,6507.62421371326,10446.4981927462,14070.0948639462,14227.6155904212,14441.3324473037,15326.7730235461,0.0492010126826746,23.29,3335
"Q8K2C7","Os9","Protein OS-9",36846.7213348798,35536.4396954554,34757.4385220845,35464.1662024975,29229.6296824305,27717.9112336364,29138.4590953626,31931.0573656547,32478.0091472784,32299.4428194643,26620.3297188714,23475.7763639288,27131.6486582388,30406.4471665787,27520.106436641,25876.5644834204,0.0480399833261929,4.08,2489
"Q8K2H2","Otud6b","OTU domain-containing protein 6B",6164.3400037014,10822.4035176455,10850.1779149556,13225.8012711477,8000.07596336499,8266.92182840123,7440.62301222619,10495.2246129264,19338.7553080798,16570.6340405753,17136.3328207832,14911.9392546113,9690.6399711783,12138.4900718593,10555.7343694471,10129.0869622919,0.0456322718001179,16.97,4619
"Q8K353","Cystm1","Cysteine-rich and transmembrane domain-containing protein 1",27095.5784883245,29017.1221423674,29941.7513865492,29939.4971785135,27085.5523076727,27944.7938888179,28081.1766924048,28550.3450958129,25455.6829266616,24265.3393256658,27930.7049556138,24791.5646970121,28393.1763262177,28468.8330236186,30116.9164870384,27508.0386199949,0.0480399833261929,2.36,1564
"Q8K448","Abca5","ATP-binding cassette sub-family A member 5",201036.981831007,226801.348862924,216078.050016168,199269.390788771,224761.094107592,227881.611108639,229011.310039069,218373.721656118,243490.895004989,214200.061955589,249427.317816417,258529.001822215,228599.794445232,240143.094030093,262995.067194166,241669.334134272,0.0456322718001179,17.15,10928
"Q8K4P0","Wdr33","pre-mRNA 3 end processing protein WDR33",7221.11118444849,8580.03422831451,7401.11641562244,9294.91148578178,9612.15491183967,7293.83627795894,7786.02082393805,7912.41794351682,12740.6609027338,10489.6988163986,9759.3665566359,9743.97730850783,8185.36728893788,8950.67546660048,12179.3485972817,7797.87632589038,0.0492010126826746,16.76,1213
"Q8R010","Aimp2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2",22836.2397454189,24868.0169161664,23238.665585503,24840.340363434,28187.1726646979,23854.4853011755,24055.3144589907,24437.2738244628,25738.6100432243,26040.4914573731,28571.3274692369,25443.4796104779,23045.2068111147,23603.4153864564,22031.9318596154,22814.7623072618,0.0402483458105069,12.75,1495
"Q8R361","Rab11fip5","Rab11 family-interacting protein 5",340694.221814688,366650.407944719,351117.902880543,342622.786840468,389955.623960607,375588.951619188,351998.447592494,354202.849279746,368079.623878254,398415.275493849,392479.615266482,404859.20678353,370758.118591901,381209.239648727,446988.206854419,413468.257916904,0.0402483458105069,17.88,30006
"Q8R555","Crtac1","Cartilage acidic protein 1",114035.908960045,118722.351217954,125258.495955578,114452.020082891,127385.758615061,124470.981088469,129835.964673316,124905.632991383,116137.866428307,139055.783800387,131571.779524247,120484.831445001,102748.083997699,114324.291448097,88826.675861656,122584.096477025,0.0492010126826746,11.25,9356
"Q8R5A6","Tbc1d22a","TBC1 domain family member 22A",108474.291921956,112311.299023741,111868.621469389,109905.757888392,113876.913838481,115426.055422929,110484.638784058,118499.022806248,113236.154274727,102863.470440053,109455.223409998,103312.787435085,99431.8782026079,112845.347249029,85248.6541361275,103445.676073359,0.0480399833261929,8.89,5107
"Q8VBT9","Aspscr1","Tether containing UBX domain for GLUT4",117165.792855605,134322.771117259,136117.627680956,133832.281604924,135895.703536395,136227.01809617,135414.065705926,138455.071695365,144289.308927239,147497.228619661,137875.731684776,137686.106487802,144601.655513676,139201.306986298,138505.876560583,132415.821321932,0.0480399833261929,15.54,4207
"Q8VBV3","Exosc2","Exosome complex component RRP4",853.2249613881,1316.32449763071,1152.21569927955,1031.57489117374,1322.84563241385,1327.26303151119,1660.78097002214,923.430568540231,1593.34452330529,1269.13542111674,1372.47400405685,1830.5324434609,1042.22578210993,1129.07384777153,1186.84142718115,1251.48692105608,0.0492010126826746,14.1,205.6
"Q8VC31","Ccdc9","Coiled-coil domain-containing protein 9",34439.152592235,38320.284890558,39227.8275565317,43690.3453588383,46881.6230764379,34258.7143396152,33173.9861325091,33275.4533948889,51049.261324224,42375.2484337003,55048.6412427516,48673.379623494,49307.5703436565,51902.2653630299,44264.5501269246,35405.4449185674,0.0456322718001179,18.06,5492
"Q8VD12","Znf385a","Zinc finger protein 385A",29634.2672538413,32506.8800952259,29703.5411321856,31798.1110867227,30538.4013802741,32821.3590505418,29973.2137073725,27653.9929105051,34412.6789644413,31830.0961866952,34676.8049295788,34615.0307562236,36107.0326772345,31967.5531174255,45397.2388497467,33674.9301661432,0.0480399833261929,19.89,2313
