"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4"
"P51432","Plcb3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",78016.2001583014,92429.1762867447,90140.285080721,91091.970977833,87939.4525756337,84344.58070879,95379.3099638291,84865.904071339,88497.763873653,100750.740936544,101807.955240361,97488.2467438874,80425.8000263324,89435.6100255912,176184.476926376,89052.7078256153,81651.6728407327,75842.7145661723,87441.6171272483,82058.5226071576,82767.5462119806,87455.9277010615,74641.2273648825,87208.4745569643,80140.1226735824,71682.4034724308,88698.3643977645,79576.8452333851,100365.178302746,79961.5021278834,86244.3016050662,88589.5874903325
"P51569","Gla","Alpha-galactosidase A",79659.1530980923,87745.8376347662,90770.6218637668,90975.723494495,83194.2745294565,81935.0111661666,86899.9119762705,86390.2839344431,89436.0470243739,78613.2324388996,89553.1555647851,89325.8654530341,84117.0209924649,86738.8066190243,76472.067207014,85067.9839953357,66303.5838177717,71840.9439999875,78186.1918315292,71003.3268406953,64698.8137308289,65129.0049821999,68137.6009226295,73885.2575041742,66510.1290134167,69383.9988968792,75433.6567533704,70072.9127708057,71939.347270297,64914.4979358292,73531.6545609802,67617.5470901619
"P51655","Gpc4","Glypican-4;Secreted glypican-4",163263.864503284,160901.414870176,197010.661091029,167504.273065035,198468.165510976,191506.251268459,205614.08222453,200172.849813591,167265.467597469,228625.799229696,163416.662687149,152107.319792737,151859.702727646,164572.92286222,117954.2594177,206739.235853878,181730.343219812,160433.535181327,136021.683339099,150952.728770431,195052.26217474,218860.24393272,152437.217584024,158532.189907103,180991.4169736,192014.770168711,163951.378365192,173499.906358432,170511.519096807,141940.737645643,187688.555450753,168073.476782483
"P51660","Hsd17b4","Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2",664270.338455627,819225.733355057,750205.070747265,795467.88431646,780206.524207047,754021.558474681,759106.010956901,761816.356181254,815096.306840186,780629.612382542,836372.887701559,780980.701325124,754053.415608323,824623.089456177,940690.879222262,783835.600941321,745898.094593786,788174.899853317,919740.494085793,770315.4570869,706449.268437554,824072.810086064,750439.009907039,720851.419184128,788355.190833014,776076.169382717,849349.248917572,794253.485313141,830730.373850107,825207.873763754,795567.58323857,758238.445341345
"P51791","Clcn3","H(+)/Cl(-) exchange transporter 3",118218.069064193,126564.276046834,128983.352198669,125220.672270811,135946.536927693,124185.319842565,124124.897160577,127899.210711707,135149.353733294,122907.569066595,132013.741336001,137224.598028723,135849.747989643,129967.431926889,126731.14452875,127867.928693315,122923.724299918,126953.885474207,98018.6644212826,123167.726997825,122600.913142875,129430.133946925,125125.225893904,80608.6450915789,117319.227468634,125968.856014285,123165.348091115,113001.860531221,129930.33157876,123937.363601128,122001.701074926,100846.243319462
"P51830","Adcy9","Adenylate cyclase type 9",655174.780406139,702004.105602851,724249.993280279,686105.491077871,763726.20728092,716977.563312917,618605.977282167,633172.337487007,697222.916709266,595188.874007393,656790.140077257,678847.661585207,753386.87823284,703396.740619398,528254.165690224,685027.03336598,692947.11314137,664334.848854899,607051.301641951,744949.604243611,747045.319620477,602566.978705003,810108.836239662,713936.698312017,679424.226241393,688124.970338613,717114.645447083,641223.494515487,655053.505056095,743686.124853419,729217.313242337,722797.522197276
"P51855","Gss","Glutathione synthetase",579507.426802183,639834.289782282,561682.377844444,557863.372979475,653519.672940769,527361.328809366,577388.297595958,595742.825517928,705054.787688009,579388.977371437,578343.370475394,670918.47857232,626759.810367496,650956.649413555,785323.442645329,606394.029376664,640018.675390054,732183.287003121,599720.634248989,675922.155945268,654889.174762963,677769.537499502,664657.56742377,508704.223908345,628950.688938147,691359.856574908,624225.909819476,610609.6000854,680587.917304996,665608.907744679,622376.815598656,498212.286334728
"P51859","Hdgf","Hepatoma-derived growth factor",571050.994491308,642057.775761906,577272.013114177,708574.606240454,587329.470794144,606400.999327448,650689.881269603,673625.277809184,598980.174037043,590384.516114424,677391.666618867,607641.663941418,634276.32305682,597158.939579603,1082293.24261231,561094.702456197,581716.535417017,574605.0929996,480676.874030384,670853.812534416,568493.59303114,530014.484175127,635092.468236012,543714.717665872,554025.097322031,511881.735890202,581947.560670432,507334.326474487,673829.643133949,560984.596587157,547642.650152304,484553.874716703
"P51863","Atp6v0d1","V-type proton ATPase subunit d 1",4286079.88948827,4821783.76219252,4920302.09368452,5155642.09853034,5778452.93587779,4475104.95960128,4697295.01871575,4631829.19837717,5300435.64041275,4954719.35815627,5038822.87590175,4678913.29051323,4612583.74766366,4930677.10998245,4234069.83161327,4744052.50788513,4466351.21250698,4281680.84109547,3290655.09949738,4749631.76393502,4997387.99768177,4437867.87428663,4842771.75497392,4205134.0962461,4384499.91635134,4449433.72891491,4596207.39575912,4477609.66692138,4803629.11503476,4172530.89856767,4497095.87862674,4520923.30253645
"P51880","Fabp7","Fatty acid-binding protein, brain",1016452.35366373,1109684.2140142,879967.926338176,1607578.82755323,994308.368608974,1048644.0647183,1736414.58614999,1763454.57371137,889454.182978105,1486588.40571698,2517863.97709407,1853776.10229462,956636.146066654,1552643.76978994,1373041.39109229,848325.948998043,1552601.48013508,962455.395699878,744676.135581345,2283684.61632244,1011037.68275126,1376384.53191113,1857476.82903854,410760.337868332,1663856.29139943,1157370.81463478,897648.764749673,1304564.90552823,1442968.20699592,1142652.72132411,767965.395473407,416399.631675726
"P51881","Slc25a5","ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",1411368.40727127,1723716.76990901,1730917.45683618,1830746.42233788,1674072.44851097,1740774.90517421,1811732.39435082,1692788.42029503,1725413.60924146,1634781.75599059,1761643.49194851,1710739.29215206,1861611.23168421,1669877.8482567,1754294.98927027,1543838.25607476,1417666.5511566,1699806.15374925,1688564.93766868,1595633.61018482,1440336.01210489,1576936.67467899,1673964.29290548,1678179.16859429,1424344.69706611,1296110.17895298,1547935.64071495,1500819.43332987,1338471.77896884,1501962.10828923,1591732.14216719,1611140.82831115
"P51885","Lum","Lumican",85568.8228638148,47262.5367970596,49511.0301143379,45995.2301504193,38863.4121531247,54708.2040247575,66125.473357322,49702.3379453041,38461.5286302147,62724.5678118657,38539.2102893028,60862.5959830135,53831.1089700789,64823.5259956433,133303.563006557,58346.5680499439,35298.4441218374,54808.5307940915,156759.875760764,40119.8531502121,50525.6404074601,38586.4051689134,36722.8046331802,43757.1991795502,65488.4225559542,70301.135638698,55054.9754304082,45247.3349682175,59397.5355016024,69820.7605871935,67903.5997322568,50620.2150792507
"P51906","Slc1a1","Excitatory amino acid transporter 3",98710.0493901388,113274.257909109,103886.95242449,102978.61848281,120646.526851125,101897.078900061,104497.020751211,89009.0314390087,107936.780168753,119241.450623138,98268.3730963622,103211.053986816,106454.467286773,108538.162706985,86593.8699784,104423.823423056,106007.362663743,89332.2750449885,86704.725760359,88524.6508684679,92344.4294763689,90555.5270914538,96961.6113481445,96384.892076397,67973.5057723376,60280.0870416248,99869.6652204833,103970.084446169,66666.725847663,85659.4465552652,87115.8460783453,91975.4902163172
"P51910","Apod","Apolipoprotein D",198379.325190056,234989.084968001,219091.306812449,221920.957182397,218384.384018455,215358.482843895,262734.174883791,242708.410921758,242535.618053377,228983.263177169,237877.701555743,285274.342520195,235053.616956993,266962.265013667,362983.598251732,248842.738076709,240375.913267947,306059.169378084,518225.071998623,249944.127156065,240775.104933196,299864.111412167,270799.856120869,244594.704326829,324210.291738648,406162.146616578,294929.310442963,277592.651424374,272947.23422901,335473.457211708,279548.560936064,240258.934878498
"P51949","Mnat1","CDK-activating kinase assembly factor MAT1",9518.34875721283,10701.9367145921,10507.4861075514,10253.4330197403,8707.07845994429,9931.8625788355,9139.16408106558,9188.92626220993,10597.5605506627,9622.12386329932,10419.329884573,10084.1583138139,9881.29110403772,11354.2141047058,12127.3481539718,9332.85215128004,9983.09972081319,9187.1489022827,5042.52929369173,10228.9259719217,8509.94744220279,10147.4588633589,10620.0117653363,1124.4074252953,6912.9466190206,8040.46461795003,6323.55838567889,4803.50975554301,9544.90545401281,6131.35729262115,8805.74634935262,3313.34655179443
