"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P60191","Rims4","Regulating synaptic membrane exocytosis protein 4",43843.7503421065,51742.9341042211,51009.0693378673,51811.7840768656,55756.2245200472,49186.1375666625,52061.8883017479,53952.0291661437,40543.474871681,45848.2620641332,54614.5372306188,44494.0596408689,53982.2415987664,52401.3032920392,49432.622028502,66969.7828357711,0.160911641897455,1.96,1989
"P60202","Plp1","Myelin proteolipid protein",13645364.7829955,16698579.1198931,23992972.1490288,15071793.5304496,12901738.7176058,13527763.9664644,14912094.7192277,21852454.003755,17759446.3136109,16950951.0620452,17678957.8988519,13000572.5421924,14131722.9841429,18564004.1724713,14819293.0981836,12393312.3365502,0.264391399973557,5.96,471079
"P60229","Eif3e","Eukaryotic translation initiation factor 3 subunit E",680664.793911862,669353.179276371,703538.607963988,687022.048831126,649454.500560661,632453.181974079,674130.641853358,614892.080238883,681049.081247781,666073.583310988,694318.845851352,696252.505367329,666601.837451967,702541.27827943,674735.099915984,668252.216148174,0.126994470778387,21.32,17734
"P60335","Pcbp1","Poly(rC)-binding protein 1",573757.424615209,604104.723064093,578655.596265554,577661.588186214,596980.767114699,554217.515699013,563791.133481645,644183.574614052,608701.192668124,562669.653709705,578367.072352198,553466.56004439,519197.271051824,572038.466035391,545048.663746464,594696.593216617,0.144056185980953,8.9,11293
"P60469","Ppfia3","Liprin-alpha-3",1690749.59833288,1579030.63316973,1265607.88517374,1682500.46105502,1819598.83863157,1576872.47458279,1703218.12520515,1723022.25676098,1529485.911535,1472833.85784705,1641967.41006646,1782709.00347654,1630727.79132656,1557647.69646795,1693274.36074775,1853296.46166554,0.191751360355969,12.53,22200
"P60487","Pdxp","Pyridoxal phosphate phosphatase",1561679.52833364,1390534.66167518,1303013.86022272,1448319.66936863,1486228.2900039,1579868.48045497,1423735.52944688,1765835.15309491,1504396.04241008,1361720.43543092,1376791.07365079,1515272.44528438,1434943.53688317,1410314.70026765,1381665.83792658,1636090.19069761,0.160911641897455,9.76,45166
"P60521","Gabarapl2","Gamma-aminobutyric acid receptor-associated protein-like 2",395449.255002748,379208.703306169,464332.865381432,389982.434996861,367649.876535525,425786.331819232,380131.808879828,424702.66418262,373530.080325745,423616.149582368,407175.320567706,411612.602562048,396422.919012652,396551.941244766,392366.022028637,395844.880013088,0.24191058471304,7.58,1700
"P60603","Romo1","Reactive oxygen species modulator 1",15818.6970536352,22735.3978413598,10288.3908867349,15103.0925648188,20121.4311844304,14429.7595459153,18151.5879444127,9707.3901668123,14597.7838895736,16164.0510996694,14045.4293557711,12521.8881105727,19414.1530897836,13771.6671972733,15255.8235777089,10243.2137271963,0.24191058471304,5.46,620
"P60605","Ube2g2","Ubiquitin-conjugating enzyme E2 G2",25470.7567296058,28005.9682980946,27330.927940273,26690.8131604617,23972.9193441604,34600.373187362,33275.9153786525,28060.2266154721,26416.9135879036,28187.6474378577,35107.412260962,30931.5682677761,29514.1876689845,26645.154786361,29064.6043526504,36957.0731929869,0.144056185980953,15.76,1155
"P60670","Nploc4","Nuclear protein localization protein 4 homolog",367182.043482406,323356.897054419,312756.775416092,334547.547118272,337298.260450565,338639.469989152,307863.352096511,352273.485916205,313017.50140586,304495.165643398,323982.857448245,325183.886554294,325086.141541728,324308.747188548,317212.576100068,322038.572654894,0.144056185980953,5.44,7532
