"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q9D753","Exosc8","Exosome complex component RRP43",25408.0332668798,32539.8763705478,28400.3028036867,32219.1018417257,30607.0858359569,28763.6690479155,29783.6307613905,29582.6264103847,31891.528791648,32788.7009886106,33936.8657195201,32844.6103463962,29735.8204968316,28597.9149618255,32292.0671652637,28609.4047829319,0.0638933935172341,15.35,1839
"Q9D772","Fam219a","Protein FAM219A",92615.8070462853,106007.386268716,106122.418064013,109206.31003747,98535.0080750309,107403.484666201,103212.419405462,99579.5809468101,107805.355313205,113360.501359792,120712.566306519,100027.295773827,102882.67892638,113260.68241578,92190.3139957219,104452.792045961,0.121212053044845,15.86,6245
"Q9D787","Ppil2","Peptidyl-prolyl cis-trans isomerase-like 2",10824.2266406546,12155.1883436023,12917.1176175426,15013.7345719958,11748.1191258643,10645.6194715064,12431.9957506185,10335.5531644818,12192.0997071222,12113.4224686222,10619.9245509988,11511.9043486716,11274.5331747194,12390.236234911,13070.3037430016,10582.1240099746,0.121212053044845,0.84,517
"Q9D7A6","Srp19","Signal recognition particle 19 kDa protein",8465.33786044272,9731.26764878319,8705.13499357556,10277.9249682385,8249.22024287885,10094.7760838661,8258.10470119785,9074.28025348883,7893.68178142647,9858.50939982982,8495.18384247119,8343.64819635055,8645.93617439397,8625.93603750784,5987.58104673294,8299.85480204286,0.103064156649108,7.4,413.3
"Q9D7A8","Armc1","Armadillo repeat-containing protein 1",696256.402613286,803411.739914085,815476.293158942,855131.978944309,779726.143367886,802491.676404874,770601.490836566,806845.330546783,773904.9090816,795012.691383141,804247.592977881,760019.383952647,809298.782801556,729321.810508505,782003.103820442,824914.052634911,0.14521094322486,5.34,3568
"Q9D7B6","Acad8","Isobutyryl-CoA dehydrogenase, mitochondrial",488687.050460828,528497.797052696,534160.717679174,503057.681614962,546550.320386863,483763.507225553,507814.220824493,578693.116399696,536452.887345873,542522.412601488,526193.647465268,595340.808183225,482612.994907663,558408.966061911,832493.627752698,527411.72635123,0.14521094322486,19.21,26441
"Q9D7E4",NA,"UPF0449 protein C19orf25 homolog",35518.6041054673,38046.6080026127,40420.8131715359,39591.4663079869,41543.461271694,40719.1750817118,33704.5357919414,38747.2682927738,37748.791761684,38225.0692274275,37555.5336057492,33909.6754082692,37626.144553989,35445.3326203991,36612.7658852217,40350.4714843517,0.111568025456355,5.47,684
"Q9D7F2","Lypd6b","Ly6/PLAUR domain-containing protein 6B",2743.06399755829,1691.45078386416,1590.73973738181,1725.64670743898,3358.28998582811,2154.86616716647,1975.83283881317,1419.93681557122,2165.09862204616,2745.90228916108,1750.19415597624,2898.37315171632,2588.65821325467,1537.93774951255,1919.63171099263,1576.62038467788,0.0886980335892281,13.32,245.5
"Q9D7G0","Prps1","Ribose-phosphate pyrophosphokinase 1",1150676.85678628,1299892.55370459,1319102.50050419,1328772.96726705,1295195.31636199,1293720.82823024,1389744.63592457,1343010.3715477,1304826.66365618,1463868.48806091,1291487.5411066,1289749.942934,1225762.20224196,1216735.43660325,1097796.18719724,1359218.36885327,0.111568025456355,11.72,54711
"Q9D7H3","RtcA","RNA 3-terminal phosphate cyclase",139727.171337914,168619.089282732,151203.408007664,169406.923821882,163780.673658528,164807.093071871,156176.732387905,161306.119671178,165916.817808339,169457.619559173,169124.320191818,171375.047294898,164682.42284878,150083.545464797,173326.328726098,156130.639747131,0.0886980335892281,14.81,5069
"Q9D7I5","Lhpp","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase",96802.0275756816,117666.912409452,114804.667755939,113806.636976998,123959.661972645,105792.341983266,120503.102209117,115877.858103257,109077.240007943,116368.509728808,106872.339557391,106904.368295015,123681.572157131,114387.492445034,99088.3416779585,102763.891093254,0.132870514408682,9.22,2789
"Q9D7K5","Atp5sl","ATP synthase subunit s-like protein",30930.3475414256,35923.2369757734,37489.2164859573,36156.5928083542,39514.2671012083,35002.4136266786,37306.5682345122,37959.5296072818,40365.3060739157,38250.6632511745,36675.8659464924,38518.0507682037,35988.9560080589,36350.1859011211,36704.3699892801,37824.7496214573,0.0524807262704558,14.13,1430
"Q9D7M1","Gid8","Glucose-induced degradation protein 8 homolog",62788.7217670155,67335.2345836252,66228.7042072624,63955.1094641134,70014.5319379642,68909.1516981119,62019.5918796008,64925.3421514478,69937.9767973719,68978.8977053198,67618.923752343,71214.544397999,68444.0004733952,70405.855009735,54993.905651391,66243.3416877367,0.0772775102241011,13.94,2126
