Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
E9Q4N7,1,,23.1,0.0,,3.46,3.46,0.0,3.33,3.33,0.0,,0.08,0.0,,1.0,1.0,
E9Q4P1,1,,23.1,0.0,,9.54,9.54,0.0,9.18,9.18,0.0,,0.03,0.0,,1.0,1.0,
E9Q4Z2,1,,23.1,0.0,,7.66,7.66,0.0,7.37,7.37,0.0,,0.05,0.0,,1.0,1.0,
E9Q555,1,,23.1,0.0,,2.43,2.43,0.0,2.34,2.34,0.0,,0.06,0.0,,1.0,1.0,
E9Q557,1,,23.1,0.0,,10.73,10.73,0.0,10.33,10.33,0.0,,0.07,0.0,,1.0,1.0,
E9Q5C9,1,,23.1,0.0,,2.83,2.83,0.0,2.72,2.72,0.0,,0.09,0.0,,1.0,1.0,
E9Q5K4,1,,23.1,0.0,,15.83,15.83,0.0,15.24,15.24,0.0,,0.01,0.0,,1.0,1.0,
E9Q5K9,1,,23.1,0.0,,12.5,12.5,0.0,12.03,12.03,0.0,,0.05,0.0,,1.0,1.0,
E9Q634,1,,23.1,0.0,,1.88,1.88,0.0,1.81,1.81,0.0,,0.06,0.0,,1.0,1.0,
E9Q6P5,1,,23.1,0.0,,23.58,23.58,0.0,22.7,22.7,0.0,,0.04,0.0,,1.0,1.0,
E9Q735,1,,23.1,0.0,,1.51,1.51,0.0,1.45,1.45,0.0,,0.03,0.0,,1.0,1.0,
E9Q7D5,1,,23.1,0.0,,0.18,0.18,0.0,0.17,0.17,0.0,,0.09,0.0,,1.0,1.0,
E9Q7G0,1,,23.1,0.0,,10.48,10.48,0.0,10.09,10.09,0.0,,0.03,0.0,,1.0,1.0,
E9Q8D0,1,,23.1,0.0,,5.61,5.61,0.0,5.4,5.4,0.0,,0.05,0.0,,1.0,1.0,
E9QAM5,1,,23.1,0.0,,15.63,15.63,0.0,15.04,15.04,0.0,,0.01,0.0,,1.0,1.0,
E9QAT4,1,,23.1,0.0,,3.06,3.06,0.0,2.94,2.94,0.0,,0.09,0.0,,1.0,1.0,
F6ZDS4,1,,23.1,0.0,,10.78,10.78,0.0,10.38,10.38,0.0,,0.03,0.0,,1.0,1.0,
F8VPQ2,1,,23.1,0.0,,10.29,10.29,0.0,9.9,9.9,0.0,,0.02,0.0,,1.0,1.0,
F8VPU2,1,,23.1,0.0,,10.22,10.22,0.0,9.84,9.84,0.0,,0.01,0.0,,1.0,1.0,
F8VQB6,1,,23.1,0.0,,7.5,7.5,0.0,7.22,7.22,0.0,,0.08,0.0,,1.0,1.0,
G3X982,1,,23.1,0.0,,0.48,0.48,0.0,0.46,0.46,0.0,,0.07,0.0,,1.0,1.0,
G3X9K3,1,,23.1,0.0,,17.06,17.06,0.0,16.42,16.42,0.0,,0.03,0.0,,1.0,1.0,
G3XA57,1,,23.1,0.0,,23.32,23.32,0.0,22.45,22.45,0.0,,0.07,0.0,,1.0,1.0,
G5E829,1,,23.1,0.0,,17.75,17.75,0.0,17.08,17.08,0.0,,0.02,0.0,,1.0,1.0,
G5E870,1,,23.1,0.0,,9.77,9.77,0.0,9.4,9.4,0.0,,0.02,0.0,,1.0,1.0,
G5E897,1,,23.1,0.0,,4.6,4.6,0.0,4.43,4.43,0.0,,0.01,0.0,,1.0,1.0,
G5E8K5,1,,23.1,0.0,,12.72,12.72,0.0,12.24,12.24,0.0,,0.08,0.0,,1.0,1.0,
G5E8Q8,1,,23.1,0.0,,16.19,16.19,0.0,15.58,15.58,0.0,,0.06,0.0,,1.0,1.0,
O08529,1,,23.1,0.0,,7.49,7.49,0.0,7.21,7.21,0.0,,0.11,0.0,,1.0,1.0,
O08532,1,,23.1,0.0,,6.44,6.44,0.0,6.2,6.2,0.0,,0.18,0.0,,1.0,1.0,
O08539,1,,23.1,0.0,,10.76,10.76,0.0,10.36,10.36,0.0,,0.21,0.0,,1.0,1.0,
O08547,1,,23.1,0.0,,4.98,4.98,0.0,4.79,4.79,0.0,,0.04,0.0,,1.0,1.0,
O08553,1,,23.1,0.0,,10.46,10.46,0.0,10.07,10.07,0.0,,0.08,0.0,,1.0,1.0,
O08573,1,,23.1,0.0,,0.99,0.99,0.0,0.95,0.95,0.0,,0.04,0.0,,1.0,1.0,
O08579,1,,23.1,0.0,,15.73,15.73,0.0,15.14,15.14,0.0,,0.04,0.0,,1.0,1.0,
O08582,1,,23.1,0.0,,12.82,12.82,0.0,12.34,12.34,0.0,,0.05,0.0,,1.0,1.0,
O08583,1,,23.1,0.0,,8.65,8.65,0.0,8.33,8.33,0.0,,0.01,0.0,,1.0,1.0,
O08585,1,,23.1,0.0,,6.0,6.01,0.0,5.78,5.78,0.0,,0.05,0.0,,1.0,1.0,
O08586,1,,23.1,0.0,,11.02,11.02,0.0,10.61,10.61,0.0,,0.06,0.0,,1.0,1.0,
O08599,1,,23.1,0.0,,13.87,13.87,0.0,13.35,13.35,0.0,,0.09,0.0,,1.0,1.0,
O08600,1,,23.1,0.0,,0.58,0.58,0.0,0.56,0.56,0.0,,0.08,0.0,,1.0,1.0,
O08601,1,,23.1,0.0,,1.66,1.66,0.0,1.6,1.6,0.0,,0.07,0.0,,1.0,1.0,
O08605,1,,23.1,0.0,,9.61,9.61,0.0,9.25,9.25,0.0,,0.13,0.0,,1.0,1.0,
O08609,1,,23.1,0.0,,21.42,21.42,0.0,20.62,20.62,0.0,,0.04,0.0,,1.0,1.0,
O08638,1,,24.98,0.0,,7.79,7.79,0.0,8.11,8.11,0.0,,0.17,0.0,,0.68,0.68,
O08648,1,,23.1,0.0,,2.89,2.89,0.0,2.78,2.78,0.0,,0.15,0.0,,1.0,1.0,
O08663,1,,23.1,0.0,,13.12,13.12,0.0,12.63,12.63,0.0,,0.05,0.0,,1.0,1.0,
O08677,1,,23.1,0.0,,15.9,15.9,0.0,15.3,15.3,0.0,,0.1,0.0,,1.0,1.0,
O08688,1,,23.1,0.0,,4.75,4.75,0.0,4.57,4.57,0.0,,0.13,0.0,,1.0,1.0,
O08705,1,,23.1,0.0,,21.99,21.99,0.0,21.17,21.17,0.0,,0.09,0.0,,1.0,1.0,
O08709,1,,23.1,0.0,,13.8,13.8,0.0,13.28,13.28,0.0,,0.03,0.0,,1.0,1.0,
O08715,1,,23.1,0.0,,16.47,16.47,0.0,15.85,15.85,0.0,,0.01,0.0,,1.0,1.0,
O08734,1,,23.1,0.0,,1.2,1.21,0.0,1.15,1.15,0.0,,0.07,0.0,,1.0,1.0,
O08738,1,,23.1,0.0,,14.13,14.13,0.0,13.6,13.6,0.0,,0.07,0.0,,1.0,1.0,
O08740,1,,23.1,0.0,,17.94,17.94,0.0,17.27,17.27,0.0,,0.08,0.0,,1.0,1.0,
O08749,1,,23.1,0.0,,14.1,14.1,0.0,13.57,13.57,0.0,,0.06,0.0,,1.0,1.0,
O08756,1,,23.1,0.0,,18.95,18.95,0.0,18.24,18.24,0.0,,0.06,0.0,,1.0,1.0,
O08759,1,,23.1,0.0,,4.02,4.02,0.0,3.87,3.87,0.0,,0.05,0.0,,1.0,1.0,
O08784,1,,23.1,0.0,,0.78,0.78,0.0,0.75,0.75,0.0,,0.15,0.0,,1.0,1.0,
O08788,1,,23.1,0.0,,9.64,9.64,0.0,9.28,9.28,0.0,,0.04,0.0,,1.0,1.0,
O08795,1,,23.1,0.0,,0.79,0.79,0.0,0.76,0.76,0.0,,0.12,0.0,,1.0,1.0,
O08796,1,,23.1,0.0,,12.52,12.52,0.0,12.05,12.05,0.0,,0.18,0.0,,1.0,1.0,
O08800,1,,23.1,0.0,,14.35,14.35,0.0,13.81,13.81,0.0,,0.23,0.0,,1.0,1.0,
O08807,1,,23.1,0.0,,9.34,9.34,0.0,8.99,8.99,0.0,,0.07,0.0,,1.0,1.0,
O08808,1,,23.1,0.0,,4.96,4.96,0.0,4.77,4.77,0.0,,0.02,0.0,,1.0,1.0,
